DateTime,Market cap,Volume (24h),Market cap BTC,Market cap ETH,Market cap USDT,Market cap BNB,Market cap XRP,Market cap USDC,Market cap SOL,Market cap ADA,Market cap DOGE,Market cap TRX,Market cap Others,MA200,MA200/BTC,MA200/ETH,MA200/USDT,Porcentaje BTC,Porcentaje ETH,Porcentaje USDT,Porcentaje BNB,Porcentaje XRP,Porcentaje USDC,Porcentaje SOL,Porcentaje ADA,Porcentaje DOGE,Porcentaje TRX,Porcentaje Otros
2022-05-07,1648837806888.325,95623071198.41501,685403808434.2131,324839320896.6773,83195498066.32413,60725540007.26733,28503873839.076767,48710936414.77792,27359472834.513977,26162656002.15055,16972821301.18035,7912416280.7488575,339051462811.395,1989233293447.1377,864731308228.1597,368330192040.3473,69412458295.29562,0.4156890420457439,0.19701108231482864,0.05045705388289833,0.03682929864512759,0.01728725149314054,0.02954258824687242,0.016593186255321607,0.015867331457861542,0.010293808906050824,0.004798783875341332,0.2056305728768132
2022-05-08,1620601533242.5,76921052027.91,675183216782.4188,318301600921.0965,83231348107.73582,59686220279.77031,28121685488.23557,48565782169.22247,26487199620.34279,25760511967.44746,16920494727.994167,8275684140.666659,330067789037.56934,1988414108404.5664,863647412005.6268,368507648529.752,69516267297.5116,0.4166250635537238,0.19640953953945642,0.05135830517277527,0.03682967037575863,0.017352621795914073,0.02996775035258176,0.01634405440018756,0.015895648275678118,0.010440872960387515,0.005106550852206506,0.20366992272133022
2022-05-09,1500616671861.75,118011084648.925,626981975497.8545,294820135697.4839,83218690406.27826,54244621076.934204,25964896099.10845,48636366003.30322,23929762231.32744,23233418846.07069,15355385493.478676,7736636497.841574,296494784012.0691,1986993181484.372,862347177450.9932,368581378173.6655,69618034141.09839,0.41781621333047375,0.1964659871009652,0.0554563280328163,0.0361482196580125,0.017302817292370164,0.032410919400863505,0.01594661893342743,0.01548258078276979,0.01023271684328811,0.005155638107260973,0.19758196051775234
2022-05-10,1380631810481.0,159101117269.94,578780734213.29,271338670473.8713,83206032704.8207,48803021874.09809,23808106709.98133,48706949837.383965,21372324842.312088,20706325724.69392,13790276258.963182,7197588855.016489,262921778986.5686,1985572254564.1775,861046942896.3595,368655107817.57904,69719800984.6852,0.4192143986684241,0.19653224589931714,0.0602666345025271,0.03534832495065831,0.01724435619202979,0.03527873939136234,0.01548010460143328,0.014997717398297536,0.009988380793688051,0.0052132572930569466,0.19043584030920535
2022-05-11,1320158892791.025,186414398004.365,566016712151.8303,261523618552.00696,83008645802.05273,46563039924.031876,21892891439.79586,48873536483.1421,19213276641.03914,19062164008.09768,12537427253.770935,7272170887.213181,234195409648.0442,1983761097428.8232,859714652482.2866,368673612048.7709,69819182586.9303,0.42874892957406163,0.19810010747956605,0.06287776892261758,0.035270784583808876,0.016583527603643847,0.03702095009170881,0.014553760722256115,0.01443929523346788,0.009496907775445748,0.005508557285736007,0.1773994107276875
2022-05-12,1259685975101.05,213727678738.79,553252690090.3705,251708566630.1426,82811258899.28479,44323057973.96566,19977676169.610386,49040123128.90023,17054228439.766191,17418002291.501442,11284578248.578688,7346752919.409873,205469040309.51953,1981949940293.4692,858382362068.2139,368692116279.9627,69918564189.17538,0.43919889641225024,0.19981850366314585,0.06573960537477747,0.035185799357978984,0.015859251086770103,0.03893043512290141,0.013538476078054395,0.013827257456053043,0.008958247112081609,0.005832209824214744,0.1631113185117723
2022-05-13,1259790492542.045,166829728905.74,555003002027.914,247157995478.0194,80722487269.90044,45779808263.57832,20190996337.23436,49810920615.90047,16757814576.10569,17641380162.021423,11505100991.274323,7318941509.201102,207902045310.8955,1980155100588.689,857056332149.4054,368697830111.18646,70005967724.74693,0.44055182612785987,0.19618976086991752,0.0640761203928568,0.036339223493584545,0.016027265213354906,0.03953905106506275,0.013302064649091965,0.014003423796622,0.00913255105462732,0.005809649741388913,0.1650290635956334
2022-05-14,1259895009983.04,119931779072.69,556753313965.4574,242607424325.8962,78633715640.51608,47236558553.19099,20404316504.858337,50581718102.900696,16461400712.44519,17864758032.541405,11725623733.969955,7291130098.9923315,210335050312.27136,1978360260883.9087,855730302230.5969,368703543942.4102,70093371260.31848,0.4419045313727785,0.19256162013782566,0.06241291140725655,0.03749245625937264,0.016195251463955722,0.040147566028999195,0.013065692444219446,0.014179560908636259,0.009306826077617212,0.005787093401608504,0.16694649049773036
2022-05-15,1300311182362.405,98425353348.515,575476720639.1458,250475141891.28793,77150992270.6308,49004559482.7535,20973642545.66432,50870774765.14554,18091960997.328526,18965036653.99151,12001818566.460028,7176742083.236247,220123792466.761,1976598565060.6028,854417688382.602,368733765002.5014,70171547885.59259,0.4425684624149888,0.1926270767249919,0.05933271459718042,0.037686793859391436,0.016129710203337182,0.03912200052969131,0.013913562570814053,0.014584998507461757,0.009229958743148796,0.005519249684677435,0.16928547216431689
2022-05-16,1340727354741.77,76918927624.34,594200127312.8341,258342859456.6797,75668268900.7455,50772560412.31602,21542968586.47031,51159831427.39038,19722521282.21186,20065315275.441616,12278013398.9501,7062354067.480164,229912534621.25,1974836869237.2969,853105074534.6072,368763986062.5926,70249724510.86668,0.4431923651078781,0.19268858693976423,0.05643822260590748,0.03786941486108116,0.01606812042006824,0.038158266292138115,0.014710314675432653,0.014965992305949694,0.0091577257341146,0.005267554243972596,0.17148343681369316
