DateTime,Market cap,Volume (24h),Market cap BTC,Market cap ETH,Market cap USDT,Market cap BNB,Market cap XRP,Market cap USDC,Market cap SOL,Market cap ADA,Market cap DOGE,Market cap TRX,MA200,MA200/BTC,MA200/ETH,MA200/USDT,MM,NVT-smooth
2017-04-25,30304050176.0,519930992.0,20166633059.68628,4495417469.786348,54789051.76187281,0.0,1205223795.2720082,0.0,0.0,0.0,57773649.547838055,0.0,14755217172.48,11737266347.951984,1290271103.870903,12906585.736830676,1.7180675305534567,49.57521756567141
2017-04-26,30996799488.0,458903008.0,20627815200.463867,4544367040.25905,59154902.70217939,0.0,1227080255.9078803,0.0,0.0,0.0,58215794.97576986,0.0,14812538521.6,11772989829.415728,1299308001.1962247,13050844.018898075,1.7521305547146293,50.401118058994136
2017-04-27,32207049728.0,719153008.0,21051917179.919434,5106961407.961502,58302616.55488691,0.0,1273558680.986668,0.0,0.0,0.0,63199707.686239585,0.0,14875500846.08,11810623055.726429,1311043646.4126332,13190840.870012708,1.782359783829727,50.480171547568
2017-04-28,33417299968.0,979403008.0,21476019159.375,5669555775.663954,57450330.40759443,0.0,1320037106.0654562,0.0,0.0,0.0,68183620.39670931,0.0,14938463170.56,11848256282.037128,1322779291.6290417,13330837.72112734,1.8125890129448248,50.55922503614186
2017-04-29,34367050752.0,963619008.0,21512238848.49701,5959195849.166971,58253019.607512474,0.0,1660315659.633675,0.0,0.0,0.0,74245464.47108524,0.0,15006507699.2,11886103700.196178,1336289516.9812093,13474848.013482878,1.809873291882235,50.164351788714
2017-04-30,35316801536.0,947835008.0,21548458537.61902,6248835922.669989,59055708.80743052,0.0,2000594213.201894,0.0,0.0,0.0,80307308.54546115,0.0,15074552227.84,11923951118.355228,1349799742.3333766,13618858.305838415,1.8071575708196448,49.76947854128615
2017-05-01,36675401728.0,1259487488.0,22359383787.225586,6620908675.120852,59016345.017368466,0.0,2035418033.3237548,0.0,0.0,0.0,77743646.66672441,0.0,15149124458.24,11965492637.200703,1365234677.2647016,13762671.781406682,1.8684427449732537,49.83317205205742
2017-05-02,38034001920.0,1571139968.0,23170309036.832157,6992981427.571716,58976981.22730642,0.0,2070241853.4456155,0.0,0.0,0.0,75179984.78798766,0.0,15223696688.64,12007034156.046177,1380669612.1960266,13906485.256974949,1.9297279191268624,49.8968655628287
2017-05-03,39084800000.0,1396529984.0,23741119975.373657,7135228569.9486265,58160014.11231713,0.0,2191792151.7433496,0.0,0.0,0.0,75051974.1178247,0.0,15303685383.68,12051794382.993252,1396583552.3315988,14046213.896968268,1.9697753454028697,50.00528401248512
2017-05-04,40135598080.0,1221920000.0,24311930913.91516,7277475712.325537,57343046.99732785,0.0,2313342450.041084,0.0,0.0,0.0,74923963.44766174,0.0,15383674078.72,12096554609.940325,1412497492.467171,14185942.536961587,2.009822771678877,50.11370246214153
2017-05-05,42506448896.0,1648870016.0,24853778614.587097,7973691855.769481,58489880.83455417,0.0,2929750508.7637997,0.0,0.0,0.0,83159702.99489617,0.0,15475588802.56,12144019833.43815,1431930919.267922,14331405.346141038,2.0464426757790086,49.156016228762766
2017-05-06,44877299712.0,2075820032.0,25395626315.259037,8669907999.213425,59636714.6717805,0.0,3546158567.486515,0.0,0.0,0.0,91395442.54213062,0.0,15567503526.4,12191485056.935976,1451364346.068673,14476868.15532049,2.08306257987914,48.19832999538401
2017-05-07,46683099136.0,2228894976.0,25726083685.740784,8619485747.3983,60051543.845900774,0.0,4460717151.756073,0.0,0.0,0.0,118628298.28522909,0.0,15668196572.16,12240425220.726248,1470499059.0344038,14624405.110370543,2.1016568635941457,46.842210757124406
2017-05-08,48488898560.0,2381969920.0,26056541056.22253,8569063495.583178,60466373.02002106,0.0,5375275736.025632,0.0,0.0,0.0,145861154.02832755,0.0,15768889617.92,12289365384.51652,1489633772.000135,14771942.065420594,2.120251147309152,45.4860915188648
2017-05-09,49954748416.0,2429304960.0,27362281874.85132,8453120238.434065,60512216.463309005,0.0,5695075992.4698105,0.0,0.0,0.0,141411493.76621583,0.0,15876940439.04,12361035441.25022,1510476714.4533472,14923337.215187088,2.213053337371367,43.60366361768209
2017-05-10,51420598272.0,2476640000.0,28668022693.480103,8337176981.284951,60558059.90659695,0.0,6014876248.913988,0.0,0.0,0.0,136961833.5041041,0.0,15984991260.16,12432705497.98392,1531319656.9065597,15074732.36495358,2.305855527433581,41.72123571649938
2017-05-11,52602548224.0,2003174976.0,29399580776.39093,8261056086.864094,60700253.89793955,0.0,6507836303.050468,0.0,0.0,0.0,134905980.22107667,0.0,16098987555.84,12491721627.78377,1549674263.417043,15223209.428009553,2.353300978474441,41.503821266405254
2017-05-12,53784498176.0,1529709952.0,30131138859.30176,8184935192.443236,60842447.88928214,0.0,7000796357.186949,0.0,0.0,0.0,132850126.9380492,0.0,16212983851.52,12550737757.58362,1568028869.9275262,15371686.491065526,2.4007464295153014,41.28640681631112
