DateTime,Market cap,Volume (24h),Market cap BTC,Market cap ETH,Market cap USDT,Market cap BNB,Market cap XRP,Market cap USDC,Market cap SOL,Market cap ADA,Market cap DOGE,Market cap TRX,Market cap Others,MA200,MA200/BTC,MA200/ETH,MA200/USDT
2021-07-05,1421240248298.45,64763018521.880005,641589876332.3298,258346650240.80383,62392302617.51708,46073654776.5544,30649151647.58845,25523955171.1863,9203999527.102957,44914187110.13626,31152774736.10562,4710491617.766798,266683204521.35812,953832315616.4076,526245054909.8794,135108892690.05426,27827838629.551678
2021-07-06,1408670057645.14,69049295622.53,633028773144.4966,256921229876.8264,62412633693.32337,46459316488.19339,30270709392.70826,25546808864.533688,9002712801.407154,45011262709.643394,30239340816.31666,4636112297.301513,265141157560.38965,956689291403.0128,527392750213.6212,135687089236.43626,27961868826.644382
2021-07-07,1425289905145.895,72060712455.76001,633516587030.7675,263742230876.55,62388928502.16038,48321230474.09213,30211804359.340637,25683103404.99582,9515944420.269753,44934604014.00903,29748478165.42623,4626689178.564055,272600304719.71973,959619892820.4868,528539800682.3312,136297589023.4008,28094850767.33766
2021-07-08,1441909752646.65,75072129288.99,634004400917.0383,270563231876.2736,62365223310.99738,50183144459.99088,30152899325.973007,25819397945.457954,10029176039.132353,44857945318.37466,29257615514.5358,4617266059.826597,280059451879.0491,962550494237.961,529686851151.0412,136908088810.36533,28227832708.030937
2021-07-09,1423729228849.0698,74789115707.34,634350033423.4141,260716019478.1306,62274632399.245895,49499445554.10297,29823004702.176456,25950026536.07463,9573644625.688065,44013281956.27075,28982056590.55471,4539720517.021634,274007363066.3899,965370120473.4988,530822545760.2073,137467376616.9096,28360280545.05561
2021-07-10,1405548705051.49,74506102125.69,634695665929.7899,250868807079.9876,62184041487.4944,48815746648.21504,29493110078.379906,26080655126.691303,9118113212.243778,43168618594.16685,28706497666.57362,4462174974.216671,267955274253.73096,968189746709.0367,531958240369.3734,138026664423.45392,28492728382.08029
2021-07-11,1409693141449.585,63442962161.075,638887060968.0269,250189126769.4936,62203584983.01586,49099373553.67791,29415571223.214287,26106136214.252228,8946105203.261536,43177094119.79741,28441953444.399937,4447023184.178942,268780111786.2666,971038508945.9532,533122243086.7827,138583165746.49512,28625311210.721863
2021-07-12,1413837577847.68,52379822196.46,643078456006.2637,249509446458.9995,62223128478.53732,49383000459.14078,29338032368.04867,26131617301.81315,8774097194.279293,43185569645.42796,28177409222.226254,4431871394.141212,269604949318.80225,973887271182.8696,534286245804.192,139139667069.53632,28757894039.36344
2021-07-13,1375782247985.25,55778577014.95,628259953805.2216,237798508906.97888,62201653311.45419,48335971298.475685,28942954005.57448,26299665286.683544,8345689405.761675,41842746923.84932,27077289323.78819,4337420868.066835,262340394849.3955,976536346776.7996,535369217077.1146,139636109767.59064,28890406984.311707
2021-07-14,1337726918122.82,59177331833.44,613441451604.1794,226087571354.95825,62180178144.37106,47288942137.81059,28547875643.10028,26467713271.55394,7917281617.244057,40499924202.27068,25977169425.350124,4242970341.992458,255075840379.9893,979185422370.7296,536452188350.0372,140132552465.645,29022919929.25997
2021-07-15,1321763572711.815,62638068787.9,604724490451.9353,224724155187.03497,62117954168.226974,47849706601.370026,28097293658.33736,26396692808.56964,7821846766.260096,39866107876.95882,25017782898.15572,4189232179.1381006,250958310115.828,981749068518.8988,537488150691.912,140621990338.2619,29155056099.313004
2021-07-16,1305800227300.81,66098805742.36,596007529299.6912,223360739019.1117,62055730192.082886,48410471064.92945,27646711673.574432,26325672345.585342,7726411915.276135,39232291551.64694,24058396370.96132,4135494016.283744,246840779851.667,984312714667.068,538524113033.78687,141111428210.87885,29287192269.366035
2021-07-17,1282402048706.565,60334633404.91,593571513630.5457,222632363605.28687,62035997648.47676,47233571864.10024,27293902923.55701,26459239526.43571,7507641899.019203,38395568788.011856,24167526057.306488,4074194588.4907794,229030528175.33447,986786700051.0555,539565441958.5146,141599891119.73697,29419213404.71585
2021-07-18,1259003870112.32,54570461067.46,591135497961.4,221903988191.462,62016265104.87064,46056672663.27102,26941094173.5396,26592806707.28608,7288871882.76227,37558846024.37676,24276655743.651653,4012895160.697816,211220276499.0022,989260685435.0432,540606770883.2423,142088354028.5951,29551234540.06567
2021-07-19,1252103342434.51,55472511610.86,584516481978.8726,216921707263.34088,62004202135.40546,46442483162.07952,26332504570.420105,26628726298.75486,6977959537.329922,36693556458.43424,23440852826.8204,3918483625.624033,218226384577.4281,991708602733.5673,541619717208.8363,142553170058.1336,29683107029.22596
2021-07-20,1245202814756.7,56374562154.26,577897465996.3452,211939426335.21976,61992139165.94027,46828293660.88802,25723914967.30061,26664645890.223644,6667047191.8975725,35828266892.491714,22605049909.989143,3824072090.5502505,225232492655.85364,994156520032.0912,542632663534.4303,143017986087.67215,29814979518.386253
2021-07-21,1276595032409.075,69132580842.30501,589020658372.416,222162284218.7296,61970844001.02574,47910358157.81879,26031788027.029465,26775408440.239845,6954101253.786602,36590553568.05281,23631702934.57369,3831856984.4792185,231715476450.92297,996753542583.0946,543694430375.6447,143533502124.4336,29946878980.11816
2021-07-22,1307987250061.45,81890599530.35,600143850748.4868,232385142102.23944,61949548836.11121,48992422654.74956,26339661086.75832,26886170990.25605,7241155315.675631,37352840243.61391,24658355959.15824,3839641878.408186,238198460245.99252,999350565134.098,544756197216.859,144049018161.19507,30078778441.850067
2021-07-23,1340478481029.38,76127776213.405,614092458886.2548,239376811971.6393,61890894450.08281,49394069907.36231,27164867507.98267,26924679143.67074,7477802218.377529,37989224019.38277,24910877524.64224,3919756255.985448,247337039143.99927,1002116440465.859,545893349592.6096,144600346459.82562,30210304425.22149
2021-07-24,1372969711997.31,70364952896.46,628041067024.0227,246368481841.0392,61832240064.0544,49795717159.97505,27990073929.20702,26963187297.08543,7714449121.079428,38625607795.15162,25163399090.126244,3999870633.56271,256475618042.0061,1004882315797.62,547030501968.3603,145151674758.45615,30341830408.592907
2021-07-25,1399607239503.37,68133432059.065,645131524387.1797,250384775663.40594,61826784574.35219,50323509280.50619,27997208974.151104,27004213044.213203,7680759861.429176,38927735911.63481,25448525964.907352,4068622218.139823,260813579623.4502,1007782871008.8606,548255010906.60254,145723653462.75754,30473361929.02675
2021-07-26,1426244767009.43,65901911221.67,662221981750.3365,254401069485.77267,61821329084.64998,50851301401.03732,28004344019.09519,27045238791.34098,7647070601.778926,39229864028.118,25733652839.68846,4137373802.716936,265151541204.8948,1010683426220.1012,549479519844.8448,146295632167.05893,30604893449.460594
2021-07-27,1481929799829.12,81874048269.53,701011499447.7627,261477590544.70215,61806044799.33328,51780547621.70325,28938272539.71567,27125964181.587173,7651081834.246481,40093180901.36144,26311050542.44129,4223179518.556136,271511387897.71045,1013841885471.1748,550884682188.4294,146899297741.5835,30736463011.5896
2021-07-28,1537614832648.81,97846185317.39,739801017145.189,268554111603.63168,61790760514.016594,52709793842.36917,29872201060.336155,27206689571.83337,7655093066.714036,40956497774.60487,26888448245.19412,4308985234.395336,277871234590.52563,1017000344722.2484,552289844532.0142,147502963316.1081,30868032573.7186
2021-07-29,1554218822173.2852,86512551530.05,745441698450.9807,273610645736.49115,61802736319.39766,53013381733.03787,32264917237.44075,27210096064.897717,8072777034.138809,41110702864.584206,26826917850.832863,4373425670.01482,280491523211.4685,1020263241123.2926,553739129827.6284,148133967336.77844,30999565849.50264
2021-07-30,1570822811697.76,75178917742.71,751082379756.7723,278667179869.3506,61814712124.77873,53316969623.70658,34657633414.54534,27213502557.96206,8490461001.563581,41264907954.56354,26765387456.471607,4437866105.634305,283111811832.4114,1023526137524.3368,555188415123.2426,148764971357.4488,31131099125.28668
2021-07-31,1603161138707.8052,75278801254.305,762895683705.0135,286725675112.51013,61815430982.78888,54473121692.51012,34499143193.83704,27272730103.095707,9150389918.14364,41676629582.357765,26896733388.56163,4497585033.841869,293258015995.14526,1026960097703.083,556702889457.1888,149437812907.95612,31262627245.671917
2021-08-01,1635499465717.85,75378684765.9,774708987653.2548,294784170355.6696,61816149840.79902,55629273761.31366,34340652973.12874,27331957648.22936,9810318834.723696,42088351210.15199,27028079320.65165,4557303962.049435,303404220157.8784,1030394057881.8292,558217363791.1353,150110654458.46347,31394155366.057148
2021-08-02,1617665866644.53,76308278723.70499,753773500318.9932,299241585706.3336,61892024532.45514,55510284133.93827,34162177279.528748,27372204188.85108,9414691249.273956,41980820356.49762,26759388044.702343,4587283714.953048,302971907119.0029,1033746038338.541,559629183799.0393,150807074201.7296,31526094143.889275
2021-08-03,1599832267571.21,77237872681.51,732838012984.7316,303699001056.9976,61967899224.11125,55391294506.56288,33983701585.92876,27412450729.4728,9019063663.824217,41873289502.84325,26490696768.75304,4617263467.856661,302539594080.1279,1037098018795.2528,561041003806.9432,151503493944.99576,31658032921.7214
2021-08-04,1617806348997.245,79126435533.03,738913799759.3055,310878332963.9715,61987364614.51341,55808576195.35996,33910150445.139397,27455693554.35197,9378231225.186958,42997115746.841415,26395059162.338863,4718584827.559347,305363440502.6768,1040536667649.0367,562481776039.748,152235521073.69043,31790029186.85962
2021-08-05,1635780430423.28,81014998384.55,744989586533.8795,318057664870.9454,62006830004.91557,56225857884.15704,33836599304.35003,27498936379.231148,9737398786.5497,44120941990.839584,26299421555.92469,4819906187.2620325,308187286925.2251,1043975316502.8208,563922548272.5529,152967548202.38507,31922025451.99784
2021-08-06,1685717842856.87,90620038445.595,774195830551.0347,327414038350.0415,62016360825.29404,56851217419.51638,34195963731.16655,27522075053.589584,10228539467.75521,44560435951.6327,26542518332.42565,5006532473.81334,317184330700.6006,1047662310069.8916,565511040750.1707,153745594258.05914,32053754071.76852
2021-08-07,1735655255290.46,100225078506.64,803402074568.19,336770411829.1377,62025891645.6725,57476576954.87572,34555328157.98307,27545213727.948025,10719680148.960724,44999929912.42581,26785615108.92662,5193158760.364648,326181374475.9751,1051349303636.9622,567099533227.7886,154523640313.7332,32185482691.539204
2021-08-08,1755078302634.545,102977600604.51,814294102177.2715,345782716012.1721,62118322825.9427,57606575931.49854,35434554012.88119,27617062338.006237,10523995617.273697,45499242933.65432,29237170692.99777,5183743900.121079,321780816192.7258,1055132601284.1544,568743100301.2224,155346876689.54678,32318107346.958076
2021-08-09,1774501349978.63,105730122702.38,825186129786.353,354795020195.20654,62210754006.212906,57736574908.12136,36313779867.779305,27688910948.06444,10328311085.586672,45998555954.88283,31688726277.06892,5174329039.877511,317380257909.47656,1058915898931.3466,570386667374.6564,156170113065.36038,32450732002.37694
2021-08-10,1822150252840.91,106428424384.16,840767742068.7045,361498100883.1701,62391665987.90169,60217104041.842285,37951657884.62373,27842265448.291405,10763779936.49247,50012280192.77182,32736951983.603622,5255108388.777101,332713596024.73145,1062914915313.96,572098069921.0214,157023334269.6685,32584232544.51906
2021-08-11,1869799155703.19,107126726065.94,856349354351.0559,368201181571.1336,62572577969.59048,62697633175.5632,39589535901.46817,27995619948.51837,11199248787.39827,54026004430.66082,33785177690.13833,5335887737.67669,348046934139.98584,1066913931696.5736,573809472467.3864,157876555473.9766,32717733086.66118
2021-08-12,1863997665987.855,113086546612.805,846493120508.3997,362932039026.2618,62779362967.63284,63888146251.07397,42383013145.41064,27920216108.74933,11471318981.500248,56873030246.40573,34322707276.480385,5706900370.892853,349227811105.0476,1070867220656.1602,575466578025.7128,158701876868.53442,32852239488.402847
